fecha,mp25_ugm3,mp10_ugm3,so2_ppb,cov_ppb,temperatura_c,humedad_pct
2026-09-01 00:01:58,5,6,0,420,11.795,82.867
2026-09-01 00:06:57,9,9,0,478,11.6,82.996
2026-09-01 00:11:57,13,13,0,507,11.357,85.041
2026-09-01 00:16:58,27,31,0,574,11.451,83.815
2026-09-01 00:21:58,7,7,0,666,11.435,83.328
2026-09-01 00:26:58,43,53,0,3115,11.162,83.92
2026-09-01 00:31:58,24,26,0,551,11.293,84.164
2026-09-01 00:36:58,16,16,0,579,11.192,84.671
2026-09-01 00:41:58,5,6,0,585,11.197,85.125
2026-09-01 00:46:59,7,8,0,613,11.36,85.018
2026-09-01 00:51:58,7,7,0,559,11.373,84.944
2026-09-01 00:56:58,6,6,0,596,11.312,84.831
2026-09-01 01:01:58,8,8,0,539,11.387,85.213
2026-09-01 01:06:59,28,29,0,559,11.317,83.954
2026-09-01 01:11:59,23,24,0,523,11.088,85.283
2026-09-01 01:16:59,8,8,0,453,10.965,85.968
2026-09-01 01:21:58,21,23,0,508,11.002,86.264
2026-09-01 01:26:59,16,16,0,564,10.994,86.462
2026-09-01 01:31:59,16,16,0,549,10.975,86.327
2026-09-01 01:36:59,9,12,0,543,10.847,86.065
2026-09-01 01:41:59,6,6,0,516,10.794,87.311
2026-09-01 01:46:59,14,14,0,530,10.7,88.192
2026-09-01 01:51:59,14,18,0,550,10.668,88.829
2026-09-01 01:56:59,13,13,0,533,10.639,89.127
2026-09-01 02:01:59,8,8,0,495,10.535,89.325
2026-09-01 02:06:59,6,6,0,394,10.292,90.935
2026-09-01 02:11:59,9,11,0,423,10.401,90.914
2026-09-01 02:16:59,8,8,0,508,10.449,90.023
2026-09-01 02:21:59,9,9,0,556,10.391,88.837
2026-09-01 02:26:59,11,12,0,536,10.409,88.8
2026-09-01 02:31:59,9,11,0,536,10.359,89.615
2026-09-01 02:36:59,11,13,0,456,10.137,89.487
2026-09-01 02:41:59,9,9,0,493,10.142,89.953
2026-09-01 02:46:59,11,11,0,448,9.774,89.924
2026-09-01 02:51:59,9,15,0,469,9.758,89.821
2026-09-01 02:56:59,12,13,0,460,9.694,89.724
2026-09-01 03:01:59,15,17,0,506,9.736,90.471
2026-09-01 03:06:59,18,20,0,488,9.568,91.545
2026-09-01 03:11:59,13,19,0,441,9.363,92.907
2026-09-01 03:16:59,13,14,0,437,9.101,93.422
2026-09-01 03:21:59,13,15,0,422,9.138,94.702
2026-09-01 03:27:00,14,15,0,3571,9.213,94.536
2026-09-01 03:32:00,13,13,0,486,9.285,94.582
2026-09-01 03:37:00,13,17,0,506,9.266,91.826
2026-09-01 03:42:00,18,19,0,543,9.218,91.215
2026-09-01 03:47:00,18,19,0,530,9.25,91.221
2026-09-01 03:52:00,18,22,0,527,9.063,91.454
2026-09-01 03:57:00,24,25,0,507,8.994,91.858
2026-09-01 04:02:00,18,22,0,535,8.93,91.505
2026-09-01 04:07:00,21,22,0,537,8.842,92.657
2026-09-01 04:12:00,22,25,0,518,8.743,92.981
2026-09-01 04:17:00,24,25,0,597,8.882,92.505
2026-09-01 04:22:00,24,25,0,547,8.845,91.759
2026-09-01 04:27:00,21,26,0,508,8.831,91.581
2026-09-01 04:32:00,22,24,0,472,8.66,90.935
2026-09-01 04:37:00,21,21,0,500,8.561,92.445
2026-09-01 04:42:00,22,24,0,546,8.559,94.465
2026-09-01 04:47:00,22,22,0,505,8.519,94.513
2026-09-01 04:52:00,21,24,0,502,8.559,95.335
2026-09-01 04:57:00,22,24,0,487,8.58,93.464
2026-09-01 05:02:00,22,28,0,527,8.655,93.046
2026-09-01 05:07:01,24,24,0,601,8.593,92.669
2026-09-01 05:12:00,24,25,0,569,8.596,93.025
2026-09-01 05:17:01,22,24,0,500,8.455,94.237
2026-09-01 05:22:00,22,22,0,497,8.497,95.339
2026-09-01 05:27:01,25,26,0,483,8.545,94.366
2026-09-01 05:32:01,24,26,0,459,8.246,92.583
2026-09-01 05:37:01,22,24,0,451,8.204,92.405
2026-09-01 05:42:00,22,22,0,451,8.332,92.07
2026-09-01 05:47:00,21,24,0,444,8.281,92.31
2026-09-01 05:52:00,22,27,0,452,8.476,91.757
2026-09-01 05:57:00,25,25,0,496,8.599,91.908
2026-09-01 06:02:01,33,36,0,530,8.62,92.354
2026-09-01 06:07:01,25,26,0,427,8.65,91.383
2026-09-01 06:12:00,26,29,0,474,8.682,91.881
2026-09-01 06:17:01,27,28,0,483,8.711,92.226
2026-09-01 06:22:00,27,30,0,457,8.751,91.993
2026-09-01 06:27:02,24,24,0,3112,8.706,91.538
2026-09-01 06:32:02,20,21,0,489,8.748,91.114
2026-09-01 06:37:02,14,17,0,472,8.722,91.423
2026-09-01 06:42:02,17,18,0,490,8.644,92.215
2026-09-01 06:47:01,16,18,0,540,8.679,92.6
2026-09-01 06:52:02,22,22,0,545,8.78,92.32
2026-09-01 06:57:02,22,26,0,529,9.037,92.024
2026-09-01 07:02:02,24,25,0,584,9.093,91.269
